Family,DocId,Genre,Txtname,Source,Title,objN,objD,objSysN,objSysD,opN,opD,opSysN,opSysD,obj,objSys,op,opSys,numOfSTobj,numOfSTsys
Gafgyt,"D4,6",analysis,Gafgyt-unit42,unit42.paloaltonetworks.com , Multiexploit IoT_Linux Botnets Mirai and Gafgyt Target Apache Struts ,3.0,36.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,2.0,0.0
Gafgyt,"D4,7",analysis,Gafgyt-unit42-2,unit42.paloaltonetworks.com , Unit 42 Finds New Mirai and Gafgyt IoT_Linux Botnet Campaigns ,3.0,36.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,2.0,0.0
Gafgyt,"D4,8",tech,Gafgyt-wikipedia,wikipedia.org , Wikipedia BASHLITE ,0.0,36.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luabot,"D5,1",news,Luabot-nj.gov,cyber.nj.gov , NJCCIC Threat Profile LuaBot ,0.0,289.0,0.0,0.0,0.0,349.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Luabot,"D5,2",analysis,Luabot-malwaremustdie,malwaremustdie.org , 2016 Linux_LuaBot IoT botnet as service ,11.0,289.0,0.0,0.0,8.0,349.0,0.0,1.0,0.0380622837370242,0.0,0.0229226361031518,0.0380622837370242,9.0,0.0
Luabot,"D5,3",tech,Luabot-microsoft,microsoft.com , Backdoor_Linux_Luabot.A threat description ,0.0,289.0,0.0,0.0,0.0,349.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Luabot,"D5,4",news,Luabot-softpedia,news.softpedia.com , LuaBot Is the First DDoS Malware Coded in Lua Targeting Linux Platforms ,0.0,289.0,0.0,0.0,0.0,349.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Luabot,"D5,5",analysis,Luabot-securityaffairs,securityaffairs.co , LuaBot is the first Linux DDoS botnet written in Lua Language ,0.0,289.0,0.0,0.0,0.0,349.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Luabot,"D5,6",tech,Luabot-trendmicro,trendmicro.com , New Linux Malware Exploits CGI Vulnerability ,8.0,289.0,0.0,0.0,4.0,349.0,0.0,1.0,0.0276816608996539,0.0,0.0114613180515759,0.0276816608996539,2.0,0.0
Luabot,"D5,7",analysis,Luabot-w00tsec,w00tsec.blogspot , LuaBot Malware targeting cable modems ,13.0,289.0,0.0,0.0,1.0,349.0,0.0,1.0,0.0449826989619377,0.0,0.0028653295128939,0.0449826989619377,8.0,0.0
Luabot,"D5,8",tech,Luabot-ibmcloud,xforce.ibmcloud.com , LuaBot Linux_IoT Malware ,4.0,289.0,0.0,0.0,0.0,349.0,0.0,1.0,0.0138408304498269,0.0,0.0,0.0138408304498269,1.0,0.0
Kaiten,"D6,1",tech,Kaiten-fsecure,fsecure.com , Backdoor OSX Tsunami.A ,0.0,17.0,0.0,6.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaiten,"D6,2",tech,Kaiten-lacework,lacework.com , The Kek Security Network ,2.0,17.0,0.0,6.0,6.0,38.0,0.0,0.0,0.1176470588235294,0.0,0.1578947368421052,0.1176470588235294,2.0,0.0
Kaiten,"D6,3",analysis,Kaiten-tarlogic,tarlogic.com , Attackers Abuse MobileIron’s RCE to deliver Kaiten ,3.0,17.0,0.0,6.0,0.0,38.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.1764705882352941,1.0,0.0
Kaiten,"D6,4",campaign,Kaiten-trendmicro,trendmicro.com , Exposed Docker Server Abused to Drop Cryptominer DDoS Bot,1.0,17.0,0.0,6.0,0.0,38.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0588235294117647,1.0,0.0
Kaiten,"D6,5",tech,Kaiten-trendmicro2,trendmicro.com2 , Backdoor.Linux.KAITEN.AMV Threat Encyclopedia ,2.0,17.0,2.0,6.0,2.0,38.0,0.0,0.0,0.1176470588235294,0.3333333333333333,0.0526315789473684,0.1176470588235294,2.0,2.0
Turla,"D7,1",tech,Turla-trellix,kcm.trellix.com , Trellix Insights The Penquin Turla ,1.0,13.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0769230769230769,1.0,0.0
Turla,"D7,2",analysis,Turla-leonardo,leonardo.com , Malware Technical Insight Turla Penquin_x64 ,4.0,13.0,0.0,0.0,1.0,20.0,0.0,0.0,0.3076923076923077,0.0,0.05,0.3076923076923077,3.0,0.0
Turla,"D7,3",analysis,Turla-securelist,securelist.com , The Penquin Turla ,3.0,13.0,0.0,0.0,1.0,20.0,0.0,0.0,0.2307692307692307,0.0,0.05,0.2307692307692307,2.0,0.0
Turla,"D7,4",tech,Turla-trendmicro,trendmicro.com , BKDR_TURLA.YKX Threat Encyclopedia ,0.0,13.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPFDoor,"D9,1",analysis,BPFDoor-CrowdStrike,CrowdStrike,Hunting a Global Telecommunications Threat,2.0,27.0,0.0,0.0,0.0,74.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.07407407407407407,2.0,0.0
BPFDoor,"D9,2",analysis,BPFDoor-Qualys,Qualys.com,Detect the Stealthy NationState BPFDoor,4.0,27.0,0.0,0.0,4.0,74.0,0.0,0.0,0.14814814814814814,0.0,0.05405405405405406,0.14814814814814814,6.0,0.0
BPFDoor,"D9,3",analysis,BPFDoor-deepinstinct,deepinstinct.com,Stealthy Sniffing Backdoor ups its Game,1.0,27.0,0.0,0.0,1.0,74.0,0.0,0.0,0.037037037037037035,0.0,0.013513513513513514,0.037037037037037035,2.0,0.0
BPFDoor,"D9,4",analysis,BPFDoor-exatrack,exatrack.com,Tricephalic Hellkeeper a table of a passive backdoor,2.0,27.0,0.0,0.0,16.0,74.0,0.0,0.0,0.07407407407407407,0.0,0.21621621621621623,0.07407407407407407,6.0,0.0
BPFDoor,"D9,5",analysis,BPFDoor-github,github.io,Looking Closer at BPF Bytecode,1.0,27.0,0.0,0.0,23.0,74.0,0.0,0.0,0.037037037037037035,0.0,0.3108108108108108,0.037037037037037035,1.0,0.0
BPFDoor,"D9,6",news,BPFDoor-medium,medium,an active Chinese global surveillance tool,0.0,27.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPFDoor,"D9,7",analysis,BPFDoor-sandflysecurity,sandflysecurity,An Evasive Linux Backdoor Technical Analysis,6.0,27.0,0.0,0.0,1.0,74.0,0.0,0.0,0.2222222222222222,0.0,0.013513513513513514,0.2222222222222222,5.0,0.0
BPFDoor,"D9,8",analysis,BPFDoor-unfinished.bike,unfinished.bike,Fun with the new bpfdoor,7.0,27.0,0.0,0.0,9.0,74.0,0.0,0.0,0.25925925925925924,0.0,0.12162162162162163,0.25925925925925924,6.0,0.0
Conti,"D10,1",analysis,Conti-SentinelOne,SentinelOne,Hypervisor Ransomware,,,,,,,,,,,,,,
Conti,"D10,2",analysis,Conti-Trellix,Trellix.com,Conti Group Targets ESXi Hypervisors,,,,,,,,,,,,,,
Conti,"D10,3",analysis,Conti-VMwareBlog,VMwareBlog,TAU Threat Discovery_ Conti Ransomware,,,,,,,,,,,,,,
ChinaZ,"D11,1",tech,ChinaZ-TrendMicro,TrendMicro,UNIX_FLOODDOS.A Threat Encyclopedia,,,,,,,,,,,,,,
ChinaZ,"D11,2",analysis,ChinaZ-ahnlab,ahnlab,ChinaZ DDoS Bot Malware Distributed to Linux SSH Servers,,,,,,,,,,,,,,
Defray777,"D12,1",analysis,Defray777-Medium,Medium,RansomEXX — Analysis of the Ransomware,,,,,,,,,,,,,,
Defray777,"D12,2",analysis,Defray777-crowdstrike,crowdstrike,CARBON SPIDER and SPRITE SPIDER Target ESXi Servers,,,,,,,,,,,,,,
Defray777,"D12,3",analysis,Defray777-securelist,securelist,RansomEXX Trojan attacks Linux systems,,,,,,,,,,,,,,
Demonbot,"D13,1",analysis,Demonbot-bitdefender,bitdefender,threat group running an active cryptojacking campaign,,,,,,,,,,,,,,
Demonbot,"D13,2",tech,Demonbot-trendmicro,trendmicro,Backdoor.Linux.BASHLITE.SMJC2,,,,,,,,,,,,,,
EvilGnome,"D14,1",analysis,EvilGnome-intezer,intezer,Rare Malware Spying on Linux Desktop Users,,,,,,,,,,,,,,
FontOnLake,"D15,1",tech,FontOnLake-eset.tech,WeLiveSecurity,Previously unknown malware family targeting Linux,,,,,,,,,,,,,,
FontOnLake,"D15,2",analysis,FontOnLake-eset.wp,eset,Research white papers,,,,,,,,,,,,,,
HCRootkit,"D16,1",analysis,HCRootkit-lacework,lacework,Sutersu Linux Rootkit Analysis,,,,,,,,,,,,,,
KEYPLUG,"D17,1",tech,KEYPLUG-csa.gov,CSAsingapore,New Indicators of Compromise Discovered,,,,,,,,,,,,,,
KEYPLUG,"D17,2",analysis,KEYPLUG-Mandiant,Mandiant,Does This Look Infected A Summary of APT41,,,,,,,,,,,,,,
KEYPLUG,"D17,3",analysis,KEYPLUG-cta,cta,Steals From Wide Field of Targets,,,,,,,,,,,,,,
Lightning,"D18,1",analysis,Lightning-intezer,intezer,New Undetected “Swiss Army Knife”,,,,,,,,,,,,,,
Melofee,"D19,1",analysis,Melofee-exatrack,blog.exatrack.com,a new alien malware in the Panda's toolset targeting Linux hosts,,,,,,,,,,,,,,
Melofee,"D19,2",news,Melofee-thehackernews,thehackernews,New Linux Malware Linked to Chinese APT Groups,,,,,,,,,,,,,,
Moose,"D20,1",news,Moose-gosecure,gosecure,cybercrime performed by the Linux_Moose botnet,,,,,,,,,,,,,,
Moose,"D20,2",news,Moose-lwm,lwn.net,Interesting but ineffective,,,,,,,,,,,,,,
Moose,"D20,3",analysis,Moose-eset.dissectPDF,welivesecurity,Dissecting LinuxMoose,,,,,,,,,,,,,,
Moose,"D20,4",analysis,Moose-eset.breath,welivesecurity,Still breathing,,,,,,,,,,,,,,
Moose,"D20,5",news,Moose-eset.routerworm,welivesecurity,the router worm with an appetite for social networks,,,,,,,,,,,,,,
XMRigMiner,"D21,1",analysis,XMRigMiner-intezer.newgolan,intezer.com,New Golang Worm Drops XMRig Miner on Servers,,,,,,,,,,,,,,
XMRigMiner,"D21,2",news,XMRigMiner-intezer.rockegroup,intezer.com,Rocke Group Targets the Cloud,,,,,,,,,,,,,,
XMRigMiner,"D21,3",analysis,XMRigMiner-intezer.teamTNT,intezer.com,TeamTNT Cryptomining Explosion,,,,,,,,,,,,,,
XMRigMiner,"D21,4",analysis,XMRigMiner-securelist,securelist,On the trail of the XMRig miner,,,,,,,,,,,,,,
